iter	Passed	Remaining
400	21850	87130
401	21907	87085
402	21956	87009
403	22005	86932
404	22065	86898
405	22123	86858
406	22174	86791
407	22231	86746
408	22279	86666
409	22337	86626
410	22398	86598
411	22446	86516
412	22495	86442
413	22546	86374
414	22600	86319
415	22648	86238
416	22703	86184
417	22764	86157
418	22812	86077
419	22861	86004
420	22920	85966
421	22967	85882
422	23025	85840
423	23087	85815
424	23144	85772
425	23200	85723
426	23247	85641
427	23304	85593
428	23365	85565
429	23412	85483
430	23468	85433
431	23522	85378
432	23575	85317
433	23624	85243
434	23671	85164
435	23730	85125
436	23792	85096
437	23840	85019
438	23898	84978
439	23946	84900
440	23998	84838
441	24051	84779
442	24107	84731
443	24164	84683
444	24215	84619
445	24276	84587
446	24324	84510
447	24374	84439
448	24430	84391
449	24489	84353
450	24539	84283
451	24594	84231
452	24651	84183
453	24706	84131
454	24767	84099
455	24814	84019
456	24865	83954
457	24923	83912
458	24973	83842
459	25022	83771
460	25083	83738
461	25133	83669
462	25189	83621
463	25247	83577
464	25305	83536
465	25354	83463
466	25405	83395
467	25456	83330
468	25517	83298
469	25572	83246
470	25628	83196
471	25678	83127
472	25735	83083
473	25796	83050
474	25844	82973
475	25905	82940
476	25951	82859
477	26008	82814
478	26060	82751
479	26112	82689
480	26176	82666
481	26232	82614
482	26292	82579
483	26341	82506
484	26397	82457
485	26458	82423
486	26508	82355
487	26567	82315
488	26624	82270
489	26676	82208
490	26726	82137
491	26775	82067
492	26830	82014
493	26891	81981
494	26939	81906
495	26998	81865
496	27056	81822
497	27105	81751
498	27162	81705
499	27217	81653
500	27269	81590
501	27324	81538
502	27386	81506
503	27436	81437
504	27493	81391
505	27554	81356
506	27603	81285
507	27659	81236
508	27706	81161
509	27766	81120
510	27828	81088
511	27874	81010
512	27924	80941
513	27984	80903
514	28039	80852
515	28088	80782
516	28142	80727
517	28199	80679
518	28250	80614
519	28308	80570
520	28362	80514
521	28422	80476
522	28471	80405
523	28532	80369
524	28580	80298
525	28636	80247
526	28683	80172
527	28731	80100
528	28788	80053
529	28848	80014
530	28898	79947
531	28947	79876
532	29004	79830
533	29056	79769
534	29108	79709
535	29166	79663
536	29240	79661
537	29298	79618
538	29347	79548
539	29397	79481
540	29446	79414
541	29505	79371
542	29553	79300
543	29611	79253
544	29668	79206
545	29716	79134
546	29768	79075
547	29826	79028
548	29875	78959
549	29935	78919
550	29995	78880
551	30046	78816
552	30105	78774
553	30154	78705
554	30212	78661
555	30267	78609
556	30328	78570
557	30380	78511
558	30441	78472
559	30489	78402
560	30538	78334
561	30594	78283
562	30649	78230
563	30707	78184
564	30756	78116
565	30813	78068
566	30875	78033
567	30925	77965
568	30982	77920
569	31043	77880
570	31093	77815
571	31150	77766
572	31200	77700
573	31255	77648
574	31313	77601
575	31361	77532
576	31420	77489
577	31470	77424
578	31520	77358
579	31572	77297
580	31632	77256
581	31690	77212
582	31742	77151
583	31791	77084
584	31851	77042
585	31899	76973
586	31955	76922
587	32018	76888
588	32068	76823
589	32121	76766
590	32181	76723
591	32230	76657
592	32296	76628
593	32351	76576
594	32411	76535
595	32461	76468
596	32512	76406
597	32570	76360
598	32619	76294
599	32677	76248
600	32736	76204
601	32787	76141
602	32843	76089
603	32895	76030
604	32957	75992
605	33005	75922
606	33059	75868
607	33121	75829
608	33181	75788
609	33229	75719
610	33305	75713
611	33355	75649
612	33404	75582
613	33460	75531
614	33517	75483
615	33564	75411
616	33620	75360
617	33682	75321
618	33736	75267
619	33786	75201
620	33832	75129
621	33882	75065
622	33939	75016
623	33987	74945
624	34041	74890
625	34094	74832
626	34148	74778
627	34209	74737
628	34258	74671
629	34317	74627
630	34380	74590
631	34428	74523
632	34487	74477
633	34547	74435
634	34595	74367
635	34644	74300
636	34703	74256
637	34760	74207
638	34810	74142
639	34861	74081
640	34917	74029
641	34967	73965
642	35023	73913
643	35072	73847
644	35131	73803
645	35189	73757
646	35238	73690
647	35288	73627
648	35364	73616
649	35414	73552
650	35463	73487
651	35522	73441
652	35575	73385
653	35636	73344
654	35685	73278
655	35741	73226
656	35794	73168
657	35843	73102
658	35890	73034
659	35952	72993
660	36001	72929
661	36058	72879
662	36119	72837
663	36165	72767
664	36224	72720
665	36284	72678
666	36332	72610
667	36399	72581
668	36448	72515
669	36501	72457
670	36550	72392
671	36603	72334
672	36655	72276
673	36716	72235
674	36776	72191
675	36826	72126
676	36874	72060
677	36923	71995
678	36980	71945
679	37041	71903
680	37090	71839
681	37140	71776
682	37198	71727
683	37246	71660
684	37306	71617
685	37367	71575
686	37413	71504
687	37463	71441
688	37520	71393
689	37581	71350
690	37631	71286
691	37688	71237
692	37739	71176
693	37791	71117
694	37841	71055
695	37887	70984
696	37947	70939
697	37996	70875
698	38051	70822
699	38102	70761
700	38161	70715
701	38221	70672
702	38271	70608
703	38328	70558
704	38396	70529
705	38446	70467
706	38499	70409
707	38555	70357
708	38605	70295
709	38665	70250
710	38713	70184
711	38764	70124
712	38824	70080
713	38876	70021
714	38931	69968
715	38992	69925
716	39043	69863
717	39100	69814
718	39154	69759
719	39202	69693
720	39259	69643
721	39320	69600
722	39374	69545
723	39453	69534
724	39501	69468
725	39559	69420
726	39609	69356
727	39669	69313
